Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
11,2019_12,2019,87.85575,30.71225,34.331333,27.482
3,2019_12,2019,87.22825,30.58225,33.905666,27.3215
18,2019_12,2019,84.96,29.526,32.727,28.549333
88,2019_12,2019,87.1575,31.279,33.614,28.143111
16,2019_13,2019,118.3764,33.6732,54.622666,37.800866
5,2019_13,2019,119.13,34.4131,54.193533,38.1994
44,2019_13,2019,116.0176,35.8485,54.566058,39.157941
77,2019_13,2019,114.038888,35.943583,54.979647,39.894312
33,2019_13,2019,115.044125,34.506555,54.338928,35.992615
3,2019_13,2019,118.828444,34.5816,56.909312,37.051642
27,2019_13,2019,117.284714,33.760222,57.956666,37.144916
7,2019_13,2019,116.734875,33.009727,53.713176,35.716333
11,2019_13,2019,118.069111,33.9157,56.94625,37.729533
20,2019_13,2019,119.182888,33.7352,54.083875,37.840266
8,2019_13,2019,119.8776,33.297666,55.2261,45.4362
4,2019_13,2019,116.8128,34.596333,55.9397,40.281888
18,2019_13,2019,116.37825,32.98825,56.127571,36.9395
23,2019_13,2019,122.54225,33.559,59.906428,41.574166
99,2019_13,2019,116.58,32.091,54.6695,34.9676
10,2019_13,2019,116.678,33.2955,57.3915,42.872333
55,2019_13,2019,115.9985,32.952,56.7485,38.51875
26,2019_13,2019,117.814,33.607,57.62625,41.814
63,2019_13,2019,119.1805,32.778,57.969,39.338
88,2019_13,2019,,31.722,54.3565,38.318
16,2019_14,2019,93.755666,28.545545,31.78125,32.5804
44,2019_14,2019,95.419888,31.1511,31.080571,33.7245
77,2019_14,2019,93.165888,30.0942,31.007214,33.658642
5,2019_14,2019,90.7765,30.4961,30.912125,32.152714
3,2019_14,2019,100.344428,29.601285,32.063916,35.933666
27,2019_14,2019,91.756875,29.33025,30.917615,32.264153
55,2019_14,2019,91.368363,29.066833,31.394277,32.799294
23,2019_14,2019,95.114444,29.4812,31.3902,34.229266
18,2019_14,2019,93.792076,30.249153,31.588166,33.061944
7,2019_14,2019,95.197777,29.9368,32.477133,32.920466
99,2019_14,2019,92.7778,29.8311,32.0755,33.049857
20,2019_14,2019,92.4702,28.6598,31.124428,32.948642
26,2019_14,2019,92.929666,30.8265,31.827187,32.295312
4,2019_14,2019,98.4848,30.9878,33.451928,35.274
10,2019_14,2019,97.6641,31.7407,32.889714,34.121642
8,2019_14,2019,91.701166,29.168,31.688375,32.132
11,2019_14,2019,97.78625,31.113,34.3474,34.628
63,2019_14,2019,97.845,30.765,32.551714,36.411857
88,2019_14,2019,98.156333,31.238666,33.086,34.861875
33,2019_14,2019,101.922,29.06,37.526,33.1125
16,2019_15,2019,113.5175,30.55075,44.971352,43.863764
44,2019_15,2019,113.199636,31.109583,42.854166,45.217777
5,2019_15,2019,109.928444,29.864909,44.261562,43.96
33,2019_15,2019,109.56525,31.9649,44.385333,45.49723
77,2019_15,2019,109.0369,29.730583,42.663166,44.753823
23,2019_15,2019,113.377444,31.239909,44.426937,46.5794
55,2019_15,2019,115.902416,29.462384,46.29321,47.234777
27,2019_15,2019,110.4624,30.53375,44.850777,48.053882
4,2019_15,2019,113.216454,30.590846,45.966842,46.892111
