Driver,Team,session_id,season,Avg_Speed,Max_Speed,Avg_Throttle,Max_Throttle,Avg_RPM,DRS_Activations,GearChanges,Quali_Position
27,Renault,2019_2,2019,24.67594832466931,325.0,58.214061454526735,104.0,1405.7545421792167,125508,9,17.0
18,Racing Point,2019_2,2019,24.700859539863092,328.0,62.85845900458078,104.0,1591.798857378146,116642,9,18.0
63,Williams,2019_2,2019,32.873848370991816,326.0,89.22497297853724,104.0,2192.5695094961143,90296,9,19.0
88,Williams,2019_2,2019,32.92542076277729,323.0,69.19640743218899,104.0,1954.8645324000208,97410,9,20.0
77,Mercedes,2019_3,2019,62.25879577392553,323.0,67.99774335829316,104.0,3713.793106985331,157942,9,1.0
44,Mercedes,2019_3,2019,62.29690224638424,321.0,76.36342188942456,104.0,3485.7413068006977,162907,9,2.0
5,Ferrari,2019_3,2019,66.1490409272746,329.0,56.76807877731049,104.0,4082.2369473792182,146070,9,3.0
16,Ferrari,2019_3,2019,65.97215098984512,328.0,71.11016514514309,104.0,4107.4616370909835,160088,9,4.0
33,Red Bull Racing,2019_3,2019,57.68509590727254,321.0,59.587598728074674,104.0,3482.3937839778437,160792,9,5.0
10,Red Bull Racing,2019_3,2019,57.73048517796697,321.0,56.1158067494102,104.0,3476.6643245461073,162098,9,6.0
3,Renault,2019_3,2019,74.2016104215817,327.0,44.525643655759566,104.0,4649.715252846446,158548,9,7.0
27,Renault,2019_3,2019,61.829213252641296,323.0,37.71320135398502,104.0,3645.0191301671966,161275,9,8.0
20,Haas F1 Team,2019_3,2019,66.12739768181352,326.0,62.616217047902346,104.0,4562.0271309877935,163397,9,9.0
8,Haas F1 Team,2019_3,2019,62.06441686326803,326.0,60.35408759872807,104.0,4069.753872192019,157902,9,10.0
26,Toro Rosso,2019_3,2019,49.54133757308442,325.0,54.30618524976921,104.0,3071.2819776387323,120124,9,11.0
11,Racing Point,2019_3,2019,49.681146784285566,326.0,54.23997333059801,104.0,2985.1962252538724,115778,9,12.0
7,Alfa Romeo Racing,2019_3,2019,49.599394809724075,324.0,51.62406400656477,104.0,3011.3100830854446,121200,9,13.0
